0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HOUSING,"San Mateo, California",United States,"Fremont, California","Palo Alto, California","San Francisco, California","Sacramento, California","New York, New York","Providence, Rhode Island","Worcester, Massachusetts","Concord, New Hampshire","Boston, Massachusetts","Burlington, Vermont","Tampa, Florida","Madison, Wisconsin","Cleveland, Ohio","Washington, District of Columbia","Chapel Hill, North Carolina","Philadelphia, Pennsylvania"
Median Home Age,52,37,36,53,71,40,64,73,70,40,73,60,38,38,73,62,29,66
Median Home Cost,"$830,500","$170,100","$687,400","$1,805,000","$875,100","$207,200","$466,900","$137,000","$177,400","$175,500","$407,600","$254,500","$123,000","$217,400","$50,300","$434,300","$311,300","$103,400"
Home Appr. Last 12 months,22.40%,4.90%,22.40%,15.60%,22.60%,24.80%,4.60%,5.90%,1.50%,0.60%,9.30%,1.00%,11.20%,1.60%,4.10%,7.80%,1.60%,1.90%
Home Appr. Last 5 yrs.,23.50%,-4.60%,26.90%,28.20%,25.80%,17.50%,-8.90%,-4.10%,-9.20%,-11.10%,9.30%,1.70%,-7.60%,-3.30%,2.40%,14.50%,-2.60%,-9.00%
Home Appr. Last 10 yrs.,14.80%,12.70%,13.80%,25.00%,14.80%,-9.20%,1.30%,-8.30%,-4.80%,6.70%,5.40%,35.40%,-6.20%,13.10%,-31.50%,18.60%,17.70%,18.50%
Property Tax Rate,$6.98,$12.07,$8.93,$7.96,$7.22,$10.17,$6.41,$17.78,$13.98,$22.82,$8.74,$16.20,$11.65,$20.37,$23.03,$5.72,$12.06,$9.26
Homes Owned,51.05%,57.34%,59.26%,54.34%,33.49%,44.89%,29.38%,30.72%,40.65%,51.14%,31.24%,39.19%,44.29%,47.27%,35.51%,37.37%,45.21%,46.93%
Housing Vacant,5.07%,12.47%,6.70%,5.51%,9.32%,8.64%,9.14%,14.55%,10.14%,5.42%,8.76%,3.91%,14.31%,5.72%,21.71%,11.96%,9.01%,13.26%
Homes Rented,43.88%,30.19%,34.04%,40.16%,57.20%,46.47%,61.48%,54.74%,49.21%,43.44%,60.00%,56.90%,41.40%,47.01%,42.79%,50.68%,45.78%,39.81%
AVERAGE RENT FOR HOME OR APARTMENT, , , , , , , , , , , , , , , , , , 
Studio Apartment,"$1,110",$661,$980,"$1,128","$1,075",$717,"$1,088",$673,$623,$640,"$1,055",$850,$645,$631,$515,"$1,014",$601,$669
1 Bedroom Home or Apartment,"$1,357",$765,"$1,198","$1,317","$1,315",$854,"$1,136",$758,$762,$801,"$1,167",$922,$808,$755,$617,"$1,070",$742,$790
2 Bedroom Home or Apartment,"$1,676",$957,"$1,479","$1,680","$1,624","$1,072","$1,347",$925,$957,"$1,002","$1,447","$1,204","$1,013",$914,$783,"$1,267",$880,$950
3 Bedroom Home or Apartment,"$2,295","$1,289","$2,025","$2,370","$2,224","$1,579","$1,752","$1,154","$1,192","$1,321","$1,801","$1,508","$1,350","$1,261","$1,048","$1,697","$1,133","$1,184"
4 Bedroom Home or Apartment,"$2,754","$1,490","$2,430","$2,892","$2,669","$1,899","$2,065","$1,380","$1,303","$1,576","$1,966","$1,773","$1,618","$1,405","$1,083","$2,132","$1,329","$1,269"
VACANT HOUSING, , , , , , , , , , , , , , , , , , 
Vacant For Rent,1.88%,2.50%,1.48%,1.34%,2.59%,2.86%,2.45%,4.94%,3.46%,2.48%,3.09%,1.29%,4.48%,2.28%,4.89%,3.51%,5.24%,3.51%
Vacant Rented,0.42%,0.46%,0.38%,0.70%,0.52%,0.47%,0.71%,0.86%,0.75%,0.21%,1.20%,0.33%,0.76%,0.91%,0.85%,0.65%,0.36%,0.54%
Vacant For Sale,0.55%,1.38%,0.94%,0.58%,0.50%,1.36%,0.74%,1.31%,0.72%,0.49%,0.72%,0.59%,1.47%,0.91%,1.68%,1.17%,0.52%,1.44%
Vacant Sold,0.22%,0.46%,0.09%,0.49%,0.27%,0.38%,0.45%,0.32%,0.30%,0.11%,0.24%,0.00%,0.75%,0.12%,0.62%,0.89%,0.43%,0.73%
Vacant Vacation,0.79%,3.81%,3.43%,1.01%,1.77%,0.53%,1.50%,0.52%,0.25%,0.15%,0.67%,0.49%,1.47%,0.46%,0.45%,0.84%,1.31%,0.49%
Vacant Other,1.21%,3.87%,0.38%,1.39%,3.67%,3.05%,3.28%,6.60%,4.67%,1.97%,2.85%,1.21%,5.39%,1.06%,13.22%,4.90%,1.15%,6.56%
